PrimaryDiagnosisCode,PrimaryDiagnosisDescription,NumberOfDiagnoses
M10.332,""Gout due to renal impairment",141
H35.0,"Background retinopathy and retinal vascular changes",141
M05.33,"Rheumatoid heart disease with rheumatoid arthritis of wrist",141
C92.00,""Acute myeloblastic leukemia",141
H16.431,""Localized vascularization of cornea",141
C23,"Malignant neoplasm of gallbladder",141
C41.3,""Malignant neoplasm of ribs",141
M06.271,""Rheumatoid bursitis",141
M06.052,""Rheumatoid arthritis without rheumatoid factor",141
C47.2,""Malignant neoplasm of peripheral nerves of lower limb",141
Z13.6,"Encounter for screening for cardiovascular disorders",141
M50.11,""Cervical disc disorder with radiculopathy",141
J70.0,"Acute pulmonary manifestations due to radiation",141
B08.02,"Orf virus disease",141
E09.42,"Drug or chemical induced diabetes mellitus with neurological complications with diabetic polyneuropathy",141
C69.32,"Malignant neoplasm of left choroid",141
E11.359,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema",141
C92.A2,""Acute myeloid leukemia with multilineage dysplasia",141
M90.87,""Osteopathy in diseases classified elsewhere",141
I77.73,"Dissection of renal artery",141
M90.57,""Osteonecrosis in diseases classified elsewhere",141
C19,"Malignant neoplasm of rectosigmoid junction",141
I97.7,"Intraoperative cardiac functional disturbances",141
P55,"Hemolytic disease of newborn",141
E71.31,"Disorders of fatty-acid oxidation",141
C18.6,"Malignant neoplasm of descending colon",141
E72.5,"Disorders of glycine metabolism",141
G54.0,"Brachial plexus disorders",141
M49.86,""Spondylopathy in diseases classified elsewhere",141
O29.112,""Cardiac arrest due to anesthesia during pregnancy",141
J68.1,""Pulmonary edema due to chemicals",141
C47.22,""Malignant neoplasm of peripheral nerves of left lower limb",141
G10,"Huntington's disease",141
H67.2,""Otitis media in diseases classified elsewhere",141
D42.1,"Neoplasm of uncertain behavior of spinal meninges",141
F18,"Inhalant related disorders",141
M05.752,"Rheumatoid arthritis with rheumatoid factor of left hip without organ or systems involvement",141
F44,"Dissociative and conversion disorders",141
M12.122,""Kaschin-Beck disease",141
O99.73,"Diseases of the skin and subcutaneous tissue complicating the puerperium",141
L54,"Erythema in diseases classified elsewhere",140
M90.522,""Osteonecrosis in diseases classified elsewhere",140
I69.023,"Fluency disorder following nontraumatic subarachnoid hemorrhage",140
B96.2,"Escherichia coli [E. coli ] as the cause of diseases classified elsewhere",140
G97,""Intraoperative and postprocedural complications and disorders of nervous system",140
M06.01,""Rheumatoid arthritis without rheumatoid factor",140
O26.83,"Pregnancy related renal disease",140
M05.121,"Rheumatoid lung disease with rheumatoid arthritis of right elbow",140
M02.33,""Reiter's disease",140
M11.07,""Hydroxyapatite deposition disease",140
C93,"Monocytic leukemia",140
I15.2,"Hypertension secondary to endocrine disorders",140
E08.339,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema",140
E08.36,"Diabetes mellitus due to underlying condition with diabetic cataract",140
N07.6,""Hereditary nephropathy",140
Q27.1,"Congenital renal artery stenosis",140
A21.2,"Pulmonary tularemia",140
C92.42,""Acute promyelocytic leukemia",140
O10.211,""Pre-existing hypertensive chronic kidney disease complicating pregnancy",140
N18,"Chronic kidney disease (CKD)",140
D57.02,"Hb-SS disease with splenic sequestration",140
K08.122,""Complete loss of teeth due to periodontal diseases",140
M05.112,"Rheumatoid lung disease with rheumatoid arthritis of left shoulder",140
C31.2,"Malignant neoplasm of frontal sinus",140
H47.522,""Disorders of visual pathways in (due to) neoplasm",140
E83.2,"Disorders of zinc metabolism",140
O24.41,"Gestational diabetes mellitus in pregnancy",140
M05.521,"Rheumatoid polyneuropathy with rheumatoid arthritis of right elbow",140
E71.4,"Disorders of carnitine metabolism",140
E75.01,"Sandhoff disease",140
F06.4,"Anxiety disorder due to known physiological condition",140
E11.630,"Type 2 diabetes mellitus with periodontal disease",140
M06.08,""Rheumatoid arthritis without rheumatoid factor",140
M02.35,""Reiter's disease",140
M50.01,""Cervical disc disorder with myelopathy",140
M12.171,""Kaschin-Beck disease",140
T82.43,"Leakage of vascular dialysis catheter",140
M12.162,""Kaschin-Beck disease",140
Q26.3,"Partial anomalous pulmonary venous connection",140
E11.621,"Type 2 diabetes mellitus with foot ulcer",140
C84.13,""S",140
B40.1,"Chronic pulmonary blastomycosis",140
T74.31,""Adult psychological abuse",140
H34,"Retinal vascular occlusions",140
C65.2,"Malignant neoplasm of left renal pelvis",140
I25.4,"Coronary artery aneurysm and dissection",140
M05.761,"Rheumatoid arthritis with rheumatoid factor of right knee without organ or systems involvement",140
F54,"Psychological and behavioral factors associated with disorders or diseases classified elsewhere",140
J70.3,"Chronic drug-induced interstitial lung disorders",140
K50.0,"Crohn's disease of small intestine",140
O99.2,""Endocrine",140
C79.51,"Secondary malignant neoplasm of bone",140
G91.4,"Hydrocephalus in diseases classified elsewhere",140
C76.3,"Malignant neoplasm of pelvis",140
E71.12,"Disorders of propionate metabolism",140
M63.82,""Disorders of muscle in diseases classified elsewhere",140
C49.2,""Malignant neoplasm of connective and soft tissue of lower limb",140
M84.532,""Pathological fracture in neoplastic disease",140
S37.812,"Contusion of adrenal gland",140
D36.14,"Benign neoplasm of peripheral nerves and autonomic nervous system of thorax",140
F95,"Tic disorder",140
F16.15,"Hallucinogen abuse with hallucinogen-induced psychotic disorder",140
M63.83,""Disorders of muscle in diseases classified elsewhere",140
I37.1,"Nonrheumatic pulmonary valve insufficiency",140
E89,""Postprocedural endocrine and metabolic complications and disorders",140
C18.3,"Malignant neoplasm of hepatic flexure",140
I97.110,"Postprocedural cardiac insufficiency following cardiac surgery",140
D15.1,"Benign neoplasm of heart",140
A81.01,"Variant Creutzfeldt-Jakob disease",140
M32.14,"Glomerular disease in systemic lupus erythematosus",140
E09.63,"Drug or chemical induced diabetes mellitus with oral complications",140
B42.0,"Pulmonary sporotrichosis",140
F60.0,"Paranoid personality disorder",140
D12.0,"Benign neoplasm of cecum",140
I97.71,"Intraoperative cardiac arrest",140
M05.41,"Rheumatoid myopathy with rheumatoid arthritis of shoulder",140
M1A.332,""Chronic gout due to renal impairment",140
D68.32,"Hemorrhagic disorder due to extrinsic circulating anticoagulants",140
D55.2,"Anemia due to disorders of glycolytic enzymes",140
T43.3,""Poisoning by",140
E70.2,"Disorders of tyrosine metabolism",140
H81.02,""M",140
D36.16,"Benign neoplasm of peripheral nerves and autonomic nervous system of pelvis",140
G47,"Sleep disorders",140
M90.862,""Osteopathy in diseases classified elsewhere",139
D37.04,"Neoplasm of uncertain behavior of the minor salivary glands",139
D38,"Neoplasm of uncertain behavior of middle ear and respiratory and intrathoracic organs",139
Z95.5,"Presence of coronary angioplasty implant and graft",139
C91.A1,""Mature B-cell leukemia Burkitt-type",139
I21.02,"ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery",139
O24,""Diabetes mellitus in pregnancy",139
H61.191,""Noninfective disorders of pinna",139
F11.182,"Opioid abuse with opioid-induced sleep disorder",139
M12.17,""Kaschin-Beck disease",139
H18.032,""Corneal deposits in metabolic disorders",139
M36,"Systemic disorders of connective tissue in diseases classified elsewhere",139
M05.71,"Rheumatoid arthritis with rheumatoid factor of shoulder without organ or systems involvement",139
E08.62,"Diabetes mellitus due to underlying condition with skin complications",139
C92.12,""Chronic myeloid leukemia",139
O98.73,"Human immunodeficiency virus [HIV] disease complicating the puerperium",139
C92.62,"Acute myeloid leukemia with 11q23-abnormality in relapse",139
I79.0,"Aneurysm of aorta in diseases classified elsewhere",139
T43.3X1,""Poisoning by phenothiazine antipsychotics and neuroleptics",139
D35.1,"Benign neoplasm of parathyroid gland",139
K71.5,"Toxic liver disease with chronic active hepatitis",139
Q61.02,"Congenital multiple renal cysts",139
I67.5,"Moyamoya disease",139
E10.35,"Type 1 diabetes mellitus with proliferative diabetic retinopathy",139
O10.111,""Pre-existing hypertensive heart disease complicating pregnancy",139
S37.813,"Laceration of adrenal gland",139
D19.0,"Benign neoplasm of mesothelial tissue of pleura",139
Z13.22,"Encounter for screening for metabolic disorder",139
M05.532,"Rheumatoid polyneuropathy with rheumatoid arthritis of left wrist",139
S35.414,"Laceration of right renal vein",139
K50.10,"Crohn's disease of large intestine without complications",139
O26.62,"Liver and biliary tract disorders in childbirth",139
F06.2,"Psychotic disorder with delusions due to known physiological condition",139
F80.2,"Mixed receptive-expressive language disorder",139
Q24.3,"Pulmonary infundibular stenosis",139
E09.649,"Drug or chemical induced diabetes mellitus with hypoglycemia without coma",139
M63.812,""Disorders of muscle in diseases classified elsewhere",139
C57.0,"Malignant neoplasm of fallopian tube",139
O98.72,"Human immunodeficiency virus [HIV] disease complicating childbirth",139
A92.0,"Chikungunya virus disease",139
E72.0,"Disorders of amino-acid transport",139
M06.27,""Rheumatoid bursitis",139
L60,"Nail disorders",139
D35.0,"Benign neoplasm of adrenal gland",139
C63.11,"Malignant neoplasm of right spermatic cord",139
M1A.312,""Chronic gout due to renal impairment",139
N00.6,"Acute nephritic syndrome with dense deposit disease",139
E10.44,"Type 1 diabetes mellitus with diabetic amyotrophy",139
D12,""Benign neoplasm of colon",139
F45.0,"Somatization disorder",139
M02.352,""Reiter's disease",139
O9A.112,""Malignant neoplasm complicating pregnancy",139
A52.0,"Cardiovascular and cerebrovascular syphilis",139
M51.0,""Thoracic",139
M84.562,""Pathological fracture in neoplastic disease",139
C74.01,"Malignant neoplasm of cortex of right adrenal gland",139
C49.12,""Malignant neoplasm of connective and soft tissue of left upper limb",139
B96.1,"Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere",139
O99.411,""Diseases of the circulatory system complicating pregnancy",139
I25.721,"Atherosclerosis of autologous artery coronary artery bypass graft(s) with angina pectoris with documented spasm",139
F45.2,"Hypochondriacal disorders",139
D57.212,"Sickle-cell/Hb-C disease with splenic sequestration",139
E08.21,"Diabetes mellitus due to underlying condition with diabetic nephropathy",139
B97.4,"Respiratory syncytial virus as the cause of diseases classified elsewhere",139
I67.3,"Progressive vascular leukoencephalopathy",139
B57.31,"Megaesophagus in Chagas' disease",139
B96.7,"Clostridium perfringens [C. perfringens] as the cause of diseases classified elsewhere",139
M02.371,""Reiter's disease",139
Z49,"Encounter for care involving renal dialysis",139
D16.4,"Benign neoplasm of bones of skull and face",139
C48.0,"Malignant neoplasm of retroperitoneum",139
J11.82,"Influenza due to unidentified influenza virus with myocarditis",139
C92.51,""Acute myelomonocytic leukemia",139
C69.12,"Malignant neoplasm of left cornea",139
H42,"Glaucoma in diseases classified elsewhere",139
C21.1,"Malignant neoplasm of anal canal",139
I51,"Complications and ill-defined descriptions of heart disease",139
I25.760,"Atherosclerosis of bypass graft of coronary artery of transplanted heart with unstable angina",139
C38,""Malignant neoplasm of heart",139
F43.21,"Adjustment disorder with depressed mood",139
M06.041,""Rheumatoid arthritis without rheumatoid factor",139
H22,"Disorders of iris and ciliary body in diseases classified elsewhere",139
C69.0,"Malignant neoplasm of conjunctiva",139
C25.4,"Malignant neoplasm of endocrine pancreas",139
M05.7,"Rheumatoid arthritis with rheumatoid factor without organ or systems involvement",139
M84.55,""Pathological fracture in neoplastic disease",139
C63.02,"Malignant neoplasm of left epididymis",139
M24.211,""Disorder of ligament",139
D29.2,"Benign neoplasm of testis",139
D11.0,"Benign neoplasm of parotid gland",139
C94.31,""Mast cell leukemia",138
M06.26,""Rheumatoid bursitis",138
N18.3,""Chronic kidney disease",138
M11.011,""Hydroxyapatite deposition disease",138
E75.23,"Krabbe disease",138
C72.2,"Malignant neoplasm of olfactory nerve",138
B96.0,"Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified elsewhere",138
D37.01,"Neoplasm of uncertain behavior of lip",138
G99.0,"Autonomic neuropathy in diseases classified elsewhere",138
P71,"Transitory neonatal disorders of calcium and magnesium metabolism",138
H11.413,""Vascular abnormalities of conjunctiva",138
E08.331,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema",138
H47.6,"Disorders of visual cortex",138
O24.13,""Pre-existing diabetes mellitus",138
H18.821,""Corneal disorder due to contact lens",138
C10.2,"Malignant neoplasm of lateral wall of oropharynx",138
G30,"Alzheimer's disease",138
M06.28,""Rheumatoid bursitis",138
E08.351,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema",138
C84.17,""S",138
D17.5,"Benign lipomatous neoplasm of intra-abdominal organs",138
M06.04,""Rheumatoid arthritis without rheumatoid factor",138
M01.X62,"Direct infection of left knee in infectious and parasitic diseases classified elsewhere",138
M01.X1,"Direct infection of shoulder joint in infectious and parasitic diseases classified elsewhere",138
D31.52,"Benign neoplasm of left lacrimal gland and duct",138
C78.4,"Secondary malignant neoplasm of small intestine",138
A98.5,"Hemorrhagic fever with renal syndrome",138
B00.5,"Herpesviral ocular disease",138
F06.1,"Catatonic disorder due to known physiological condition",138
O99.611,""Diseases of the digestive system complicating pregnancy",138
C49.21,""Malignant neoplasm of connective and soft tissue of right lower limb",138
O99.711,""Diseases of the skin and subcutaneous tissue complicating pregnancy",138
C67.5,"Malignant neoplasm of bladder neck",138
D35.01,"Benign neoplasm of right adrenal gland",138
M01.X7,"Direct infection of ankle and foot in infectious and parasitic diseases classified elsewhere",138
C34.82,"Malignant neoplasm of overlapping sites of left bronchus and lung",138
B02.3,"Zoster ocular disease",138
N03.6,"Chronic nephritic syndrome with dense deposit disease",138
H16.442,""Deep vascularization of cornea",138
M90.621,""Osteitis deformans in neoplastic diseases",138
I72.2,"Aneurysm of renal artery",138
O98.711,""Human immunodeficiency virus [HIV] disease complicating pregnancy",138
C66,"Malignant neoplasm of ureter",138
F53,"Puerperal psychosis",138
C91.61,""Prolymphocytic leukemia of T-cell type",138
M11.01,""Hydroxyapatite deposition disease",138
E11.32,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy",138
E08.64,"Diabetes mellitus due to underlying condition with hypoglycemia",138
E11.329,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema",138
C91.A2,""Mature B-cell leukemia Burkitt-type",138
I13.2,""Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease",138
M05.232,"Rheumatoid vasculitis with rheumatoid arthritis of left wrist",138
C69.02,"Malignant neoplasm of left conjunctiva",138
E78.7,"Disorders of bile acid and cholesterol metabolism",138
J11.2,"Influenza due to unidentified influenza virus with gastrointestinal manifestations",138
E09.630,"Drug or chemical induced diabetes mellitus with periodontal disease",138
D33.1,""Benign neoplasm of brain",138
F84.0,"Autistic disorder",138
C72.42,"Malignant neoplasm of left acoustic nerve",138
J98.0,""Diseases of bronchus",138
C69.2,"Malignant neoplasm of retina",138
F25.1,""Schizoaffective disorder",138
F11.14,"Opioid abuse with opioid-induced mood disorder",138
D41.11,"Neoplasm of uncertain behavior of right renal pelvis",138
Z28.81,"Immunization not carried out due to patient having had the disease",138
M84.564,""Pathological fracture in neoplastic disease",138
M05.53,"Rheumatoid polyneuropathy with rheumatoid arthritis of wrist",138
I46,"Cardiac arrest",138
H75.03,""Mastoiditis in infectious and parasitic diseases classified elsewhere",138
I25,"Chronic ischemic heart disease",138
M90.851,""Osteopathy in diseases classified elsewhere",138
M01.X32,"Direct infection of left wrist in infectious and parasitic diseases classified elsewhere",138
C11.3,"Malignant neoplasm of anterior wall of nasopharynx",138
M36.0,"Dermato(poly)myositis in neoplastic disease",138
M90.5,"Osteonecrosis in diseases classified elsewhere",138
S35.4,"Injury of renal blood vessels",138
T82.21,"Mechanical complication of coronary artery bypass graft",138
M1A.351,""Chronic gout due to renal impairment",138
C10,"Malignant neoplasm of oropharynx",138
D32,"Benign neoplasm of meninges",138
E10,"Type 1 diabetes mellitus",138
M06.3,"Rheumatoid nodule",138
D12.2,"Benign neoplasm of ascending colon",138
L74,"Eccrine sweat disorders",138
D44.12,"Neoplasm of uncertain behavior of left adrenal gland",138
K08.421,""Partial loss of teeth due to periodontal diseases",138
O99.7,""Diseases of the skin and subcutaneous tissue complicating pregnancy",138
C78,"Secondary malignant neoplasm of respiratory and digestive organs",138
M10.372,""Gout due to renal impairment",138
D31.32,"Benign neoplasm of left choroid",138
C34.11,""Malignant neoplasm of upper lobe",138
O26.612,""Liver and biliary tract disorders in pregnancy",137
Z49.0,"Preparatory care for renal dialysis",137
Z40.0,"Encounter for prophylactic surgery for risk factors related to malignant neoplasms",137
H47.531,""Disorders of visual pathways in (due to) vascular disorders",137
D36.0,"Benign neoplasm of lymph nodes",137
M90.632,""Osteitis deformans in neoplastic diseases",137
E11.65,"Type 2 diabetes mellitus with hyperglycemia",137
M05.321,"Rheumatoid heart disease with rheumatoid arthritis of right elbow",137
I25.83,"Coronary atherosclerosis due to lipid rich plaque",137
D63.0,"Anemia in neoplastic disease",137
D37.05,"Neoplasm of uncertain behavior of pharynx",137
D89.811,"Chronic graft-versus-host disease",137
M12.152,""Kaschin-Beck disease",137
D89.810,"Acute graft-versus-host disease",137
F06.0,"Psychotic disorder with hallucinations due to known physiological condition",137
O26.832,""Pregnancy related renal disease",137
M1A.34,""Chronic gout due to renal impairment",137
M05.431,"Rheumatoid myopathy with rheumatoid arthritis of right wrist",137
M05.462,"Rheumatoid myopathy with rheumatoid arthritis of left knee",137
Y71.0,"Diagnostic and monitoring cardiovascular devices associated with adverse incidents",137
E09.11,"Drug or chemical induced diabetes mellitus with ketoacidosis with coma",137
D10,"Benign neoplasm of mouth and pharynx",137
M06.321,""Rheumatoid nodule",137
C18.8,"Malignant neoplasm of overlapping sites of colon",137
H82.1,""Vertiginous syndromes in diseases classified elsewhere",137
E34.3,"Short stature due to endocrine disorder",137
E11.341,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema",137
N15.1,"Renal and perinephric abscess",137
D44.2,"Neoplasm of uncertain behavior of parathyroid gland",137
M05.2,"Rheumatoid vasculitis with rheumatoid arthritis",137
M12.13,""Kaschin-Beck disease",137
I43,"Cardiomyopathy in diseases classified elsewhere",137
C10.3,"Malignant neoplasm of posterior wall of oropharynx",137
B25,"Cytomegaloviral disease",137
M70,""Soft tissue disorders related to use",137
E11.44,"Type 2 diabetes mellitus with diabetic amyotrophy",137
E09.1,"Drug or chemical induced diabetes mellitus with ketoacidosis",137
C68.8,"Malignant neoplasm of overlapping sites of urinary organs",137
I68,"Cerebrovascular disorders in diseases classified elsewhere",137
D39.11,"Neoplasm of uncertain behavior of right ovary",137
C67.0,"Malignant neoplasm of trigone of bladder",137
D30.21,"Benign neoplasm of right ureter",137
D31.12,"Benign neoplasm of left cornea",137
E08.32,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy",137
M10.32,""Gout due to renal impairment",137
M02.351,""Reiter's disease",137
M96,""Intraoperative and postprocedural complications and disorders of musculoskeletal system",137
M01.X21,"Direct infection of right elbow in infectious and parasitic diseases classified elsewhere",137
O99.4,""Diseases of the circulatory system complicating pregnancy",137
M11.071,""Hydroxyapatite deposition disease",137
C72.32,"Malignant neoplasm of left optic nerve",137
E30,""Disorders of puberty",137
E74.4,"Disorders of pyruvate metabolism and gluconeogenesis",137
I67.81,"Acute cerebrovascular insufficiency",137
D37.1,"Neoplasm of uncertain behavior of stomach",137
M05.15,"Rheumatoid lung disease with rheumatoid arthritis of hip",137
Q24.5,"Malformation of coronary vessels",137
I25.76,"Atherosclerosis of bypass graft of coronary artery of transplanted heart with angina pectoris",137
C90.12,"Plasma cell leukemia in relapse",137
D32.1,"Benign neoplasm of spinal meninges",137
D41,"Neoplasm of uncertain behavior of urinary organs",137
H30.812,""Harada's disease",137
M06.361,""Rheumatoid nodule",137
M05.731,"Rheumatoid arthritis with rheumatoid factor of right wrist without organ or systems involvement",137
M06.262,""Rheumatoid bursitis",137
O46.02,"Antepartum hemorrhage with disseminated intravascular coagulation",137
M90.561,""Osteonecrosis in diseases classified elsewhere",137
B97.35,""Human immunodeficiency virus",137
C34.81,"Malignant neoplasm of overlapping sites of right bronchus and lung",137
O99.281,""Endocrine",137
C73,"Malignant neoplasm of thyroid gland",137
C67.4,"Malignant neoplasm of posterior wall of bladder",137
F95.1,"Chronic motor or vocal tic disorder",137
D17.2,"Benign lipomatous neoplasm of skin and subcutaneous tissue of limb",137
I13,"Hypertensive heart and chronic kidney disease",137
C31.1,"Malignant neoplasm of ethmoidal sinus",137
C92.A0,""Acute myeloid leukemia with multilineage dysplasia",137
S35.412,"Laceration of left renal artery",137
M05.21,"Rheumatoid vasculitis with rheumatoid arthritis of shoulder",137
D31.11,"Benign neoplasm of right cornea",137
Q22.2,"Congenital pulmonary valve insufficiency",137
J84.02,"Pulmonary alveolar microlithiasis",137
F25.0,""Schizoaffective disorder",137
I82.3,"Embolism and thrombosis of renal vein",137
C69.11,"Malignant neoplasm of right cornea",137
C91.32,""Prolymphocytic leukemia of B-cell type",137
E08.01,"Diabetes mellitus due to underlying condition with hyperosmolarity with coma",137
M90.832,""Osteopathy in diseases classified elsewhere",137
I39,"Endocarditis and heart valve disorders in diseases classified elsewhere",137
F31.6,""Bipolar disorder",137
B96.4,"Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere",137
E09.621,"Drug or chemical induced diabetes mellitus with foot ulcer",137
M10.331,""Gout due to renal impairment",136
O99.712,""Diseases of the skin and subcutaneous tissue complicating pregnancy",136
H26.222,""Cataract secondary to ocular disorders (degenerative) (inflammatory)",136
F91.3,"Oppositional defiant disorder",136
H47.4,"Disorders of optic chiasm",136
E11.62,"Type 2 diabetes mellitus with skin complications",136
J95.3,"Chronic pulmonary insufficiency following surgery",136
I25.710,"Atherosclerosis of autologous vein coronary artery bypass graft(s) with unstable angina pectoris",136
M90.65,""Osteitis deformans in neoplastic diseases",136
F31.78,""Bipolar disorder",136
H47.512,""Disorders of visual pathways in (due to) inflammatory disorders",136
M05.52,"Rheumatoid polyneuropathy with rheumatoid arthritis of elbow",136
Q25.6,"Stenosis of pulmonary artery",136
J81.1,"Chronic pulmonary edema",136
M05.362,"Rheumatoid heart disease with rheumatoid arthritis of left knee",136
D14.1,"Benign neoplasm of larynx",136
O99.5,""Diseases of the respiratory system complicating pregnancy",136
M05.79,"Rheumatoid arthritis with rheumatoid factor of multiple sites without organ or systems involvement",136
Z13.220,"Encounter for screening for lipoid disorders",136
M05.162,"Rheumatoid lung disease with rheumatoid arthritis of left knee",136
F60.81,"Narcissistic personality disorder",136
D39.1,"Neoplasm of uncertain behavior of ovary",136
C10.0,"Malignant neoplasm of vallecula",136
F31.73,""Bipolar disorder",136
H93.3X3,"Disorders of bilateral acoustic nerves",136
E09.01,"Drug or chemical induced diabetes mellitus with hyperosmolarity with coma",136
M63.87,""Disorders of muscle in diseases classified elsewhere",136
F60.5,"Obsessive-compulsive personality disorder",136
E08.329,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema",136
M10.371,""Gout due to renal impairment",136
O99.354,"Diseases of the nervous system complicating childbirth",136
F16.150,"Hallucinogen abuse with hallucinogen-induced psychotic disorder with delusions",136
J99,"Respiratory disorders in diseases classified elsewhere",136
M12.12,""Kaschin-Beck disease",136
C57.3,"Malignant neoplasm of parametrium",136
C91.11,"Chronic lymphocytic leukemia of B-cell type in remission",136
F98.5,"Adult onset fluency disorder",136
B96.81,"Helicobacter pylori [H. pylori] as the cause of diseases classified elsewhere",136
M05.221,"Rheumatoid vasculitis with rheumatoid arthritis of right elbow",136
Z13.1,"Encounter for screening for diabetes mellitus",136
C41.0,"Malignant neoplasm of bones of skull and face",136
M90.55,""Osteonecrosis in diseases classified elsewhere",136
D35.4,"Benign neoplasm of pineal gland",136
D41.02,"Neoplasm of uncertain behavior of left kidney",136
O26.833,""Pregnancy related renal disease",136
M06.071,""Rheumatoid arthritis without rheumatoid factor",136
C49.1,""Malignant neoplasm of connective and soft tissue of upper limb",136
O24.111,""Pre-existing diabetes mellitus",136
D17,"Benign lipomatous neoplasm",136
D17.0,""Benign lipomatous neoplasm of skin and subcutaneous tissue of head",136
F18.150,"Inhalant abuse with inhalant-induced psychotic disorder with delusions",136
T82.4,"Mechanical complication of vascular dialysis catheter",136
E11.351,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema",136
C05.2,"Malignant neoplasm of uvula",136
G09,"Sequelae of inflammatory diseases of central nervous system",136
N18.6,"End stage renal disease",136
C54.8,"Malignant neoplasm of overlapping sites of corpus uteri",136
M05.11,"Rheumatoid lung disease with rheumatoid arthritis of shoulder",136
G54.4,""Lumbosacral root disorders",136
M05.47,"Rheumatoid myopathy with rheumatoid arthritis of ankle and foot",136
F80.1,"Expressive language disorder",136
C71.8,"Malignant neoplasm of overlapping sites of brain",136
M02.3,"Reiter's disease",136
M90.56,""Osteonecrosis in diseases classified elsewhere",136
M53.3,""Sacrococcygeal disorders",136
A50.54,"Late congenital cardiovascular syphilis",136
N46.125,"Oligospermia due to systemic disease",136
M63.8,"Disorders of muscle in diseases classified elsewhere",136
B58.3,"Pulmonary toxoplasmosis",136
F93.0,"Separation anxiety disorder of childhood",136
M01.X12,"Direct infection of left shoulder in infectious and parasitic diseases classified elsewhere",136
B45.0,"Pulmonary cryptococcosis",136
F13,""Sedative",136
N44,"Noninflammatory disorders of testis",135
G73.1,"Lambert-Eaton syndrome in neoplastic disease",135
M90.572,""Osteonecrosis in diseases classified elsewhere",135
E72.1,"Disorders of sulfur-bearing amino-acid metabolism",135
N83,""Noninflammatory disorders of ovary",135
C71.7,"Malignant neoplasm of brain stem",135
J44.1,"Chronic obstructive pulmonary disease with (acute) exacerbation",135
G99.2,"Myelopathy in diseases classified elsewhere",135
T82.41,"Breakdown (mechanical) of vascular dialysis catheter",135
H35.011,""Changes in retinal vascular appearance",135
I97.820,"Postprocedural cerebrovascular infarction during cardiac surgery",135
H81.0,M,135
C13,"Malignant neoplasm of hypopharynx",135
I25.71,"Atherosclerosis of autologous vein coronary artery bypass graft(s) with angina pectoris",135
I05,"Rheumatic mitral valve diseases",135
H18.03,"Corneal deposits in metabolic disorders",135
B57.1,"Acute Chagas' disease without heart involvement",135
M06.32,""Rheumatoid nodule",135
D36.1,"Benign neoplasm of peripheral nerves and autonomic nervous system",135
M05.19,"Rheumatoid lung disease with rheumatoid arthritis of multiple sites",135
O99.285,""Endocrine",135
F98.4,"Stereotyped movement disorders",135
D17.23,"Benign lipomatous neoplasm of skin and subcutaneous tissue of right leg",135
G30.1,"Alzheimer's disease with late onset",135
E08.2,"Diabetes mellitus due to underlying condition with kidney complications",135
M1A.36,""Chronic gout due to renal impairment",135
C69.51,"Malignant neoplasm of right lacrimal gland and duct",135
D16.01,"Benign neoplasm of scapula and long bones of right upper limb",135
M90.541,""Osteonecrosis in diseases classified elsewhere",135
R94.2,"Abnormal results of pulmonary function studies",135
M05.32,"Rheumatoid heart disease with rheumatoid arthritis of elbow",135
A31.0,"Pulmonary mycobacterial infection",135
C56,"Malignant neoplasm of ovary",135
C24.1,"Malignant neoplasm of ampulla of Vater",135
E11.43,"Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy",135
Z95,"Presence of cardiac and vascular implants and grafts",135
C47.0,""Malignant neoplasm of peripheral nerves of head",135
E83.1,"Disorders of iron metabolism",135
M22.2X2,""Patellofemoral disorders",135
D44.11,"Neoplasm of uncertain behavior of right adrenal gland",135
N22,"Calculus of urinary tract in diseases classified elsewhere",135
O9A.5,""Psychological abuse complicating pregnancy",135
O98.613,""Protozoal diseases complicating pregnancy",135
C79.62,"Secondary malignant neoplasm of left ovary",135
P91.4,"Neonatal cerebral depression",135
P29,"Cardiovascular disorders originating in the perinatal period",135
C56.2,"Malignant neoplasm of left ovary",135
D12.8,"Benign neoplasm of rectum",135
D30,"Benign neoplasm of urinary organs",135
C71.1,"Malignant neoplasm of frontal lobe",135
F43.12,""Post-traumatic stress disorder",135
K08.423,""Partial loss of teeth due to periodontal diseases",135
E74.03,"Cori disease",135
